epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4029.34,1.18255,0.88152,1.167,0.82351,0.75619,0.82982,0.3873,1.86517,0.97252,1.59574,0.0033332,0.0033332,0.0033332
2,7897.5,1.28134,0.87596,1.2282,0.81841,0.71942,0.79827,0.3809,1.89703,1.04818,1.64169,0.00660654,0.00660654,0.00660654
3,11698.8,1.36067,0.96995,1.28549,0.80376,0.64807,0.74845,0.33447,1.97628,1.22394,1.7213,0.00981987,0.00981987,0.00981987
4,15529.6,1.33705,0.94715,1.29246,0.8287,0.68006,0.78219,0.3517,1.9405,1.13621,1.72603,0.00973,0.00973,0.00973
5,19287,1.25695,0.83515,1.24608,0.83438,0.72581,0.81472,0.38376,1.89295,1.02113,1.6787,0.00964,0.00964,0.00964
6,23051.5,1.20577,0.77458,1.21762,0.88589,0.7511,0.85016,0.40549,1.84732,0.92851,1.67707,0.00955,0.00955,0.00955
7,26807.7,1.17141,0.72801,1.20192,0.88158,0.76109,0.85806,0.41121,1.85786,0.89113,1.67471,0.00946,0.00946,0.00946
8,30532.8,1.15095,0.70497,1.18513,0.88162,0.7622,0.86175,0.41012,1.85487,0.87634,1.68343,0.00937,0.00937,0.00937
9,34266.6,1.12511,0.67727,1.17013,0.88408,0.76388,0.86126,0.41018,1.85293,0.85498,1.69491,0.00928,0.00928,0.00928
10,37993.8,1.10889,0.66071,1.16412,0.88106,0.78484,0.87111,0.41864,1.83099,0.83595,1.68032,0.00919,0.00919,0.00919
11,41737.5,1.09329,0.64348,1.1528,0.87329,0.79684,0.87486,0.42259,1.82175,0.83413,1.67568,0.0091,0.0091,0.0091
12,45466.4,1.08708,0.63665,1.15018,0.8882,0.78527,0.87202,0.42101,1.82347,0.83008,1.67442,0.00901,0.00901,0.00901
13,49171.4,1.0736,0.62356,1.1416,0.89162,0.78868,0.87355,0.42261,1.82021,0.82771,1.67035,0.00892,0.00892,0.00892
14,52886.8,1.06617,0.61263,1.13602,0.88942,0.79637,0.87626,0.42236,1.82023,0.8228,1.67068,0.00883,0.00883,0.00883
15,56596.3,1.05514,0.60688,1.12905,0.88567,0.79113,0.87197,0.42101,1.8179,0.82626,1.66679,0.00874,0.00874,0.00874
16,60359.4,1.0469,0.59799,1.12533,0.88751,0.79392,0.8739,0.42178,1.8135,0.82451,1.66488,0.00865,0.00865,0.00865
17,64097.8,1.04301,0.59042,1.12332,0.88374,0.79427,0.87346,0.42055,1.81583,0.82703,1.66632,0.00856,0.00856,0.00856
18,67805.9,1.03457,0.57934,1.11719,0.879,0.79567,0.87291,0.421,1.81652,0.82205,1.66704,0.00847,0.00847,0.00847
19,71489.3,1.03527,0.58245,1.11879,0.8808,0.79751,0.87355,0.42171,1.81277,0.81722,1.66496,0.00838,0.00838,0.00838
20,75213.1,1.02399,0.57349,1.11279,0.8826,0.79881,0.87535,0.42158,1.81176,0.81439,1.66389,0.00829,0.00829,0.00829
21,78944.5,1.01905,0.56969,1.10915,0.87975,0.79725,0.87384,0.42202,1.80951,0.81127,1.66087,0.0082,0.0082,0.0082
22,82696.4,1.01507,0.56411,1.10791,0.88431,0.80095,0.87744,0.42293,1.80848,0.80924,1.66024,0.00811,0.00811,0.00811
